,solutes,solvents,solubility_param,solubility_category
1378,P,Dipropyl_amine,5,non-soluble
1379,P,Diethyl_amine,5,non-soluble
1380,P,Morpholine,1,soluble
1381,P,Cyclohexylamine,5,non-soluble
1382,P,Pyridine,1,soluble
1383,P,Carbon_terachloride,5,non-soluble
1384,P,Chloroform,3,theta
1385,P,Ethylen_chloride,4,theta
1386,P,Methylene_chloride,5,non-soluble
1387,P,1_1_1-Trichloroethane,3,theta
1388,P,1-Chlorobutane,3,theta
1389,P,Trichloroethylene,4,theta
1390,P,2_2-Dichloro_diethyl_ether,6,non-soluble
1391,P,Chlorobenzene,5,non-soluble
1392,P,o-Dichlorobenzene,4,theta
1393,P,alpha-bromonaphtaline,6,non-soluble
1394,P,Cyclohexylchloride,6,non-soluble
1395,P,Benzene,6,non-soluble
1396,P,Toluene,6,non-soluble
1397,P,Xylene,6,non-soluble
1398,P,Ethyl_benzene,6,non-soluble
1399,P,Styrene,4,theta
1400,P,Tetralin,4,theta
1401,P,Hexane,5,non-soluble
1402,P,Cyclohexane,5,non-soluble
1403,P,Acetic_acid,1,soluble
1404,P,Formic_acid_90,6,non-soluble
1405,P,Butyric_acid,1,soluble
1406,P,Benzaldehyde,1,soluble
1407,P,Acetic_anhydride,1,soluble
1408,Q,Methanol ,5,non-soluble
1409,Q,Ethanol_96,5,non-soluble
1410,Q,Ethanol_99p9,5,non-soluble
1411,Q,n-Propanol,6,non-soluble
1412,Q,n-Butanol,6,non-soluble
1413,Q,Pentanol-1,6,non-soluble
1414,Q,2-Ethyl_butanol,6,non-soluble
1415,Q,2-Ethyl_hexanol,6,non-soluble
1416,Q,Methyl_isobutyl_carbinol,6,non-soluble
1417,Q,Propylene_glycol,6,non-soluble
1418,Q,Ethylene_glycol,6,non-soluble
1419,Q,1_3-Butandiol,4,theta
1420,Q,Glycerol,6,non-soluble
1421,Q,Cyclohexanol,5,non-soluble
1422,Q,m-Cresol,1,soluble
1423,Q,Ethyl_lactate,1,soluble
1424,Q,n-Butyl_lactate,3,theta
1425,Q,Diethylene_glycol,1,soluble
1426,Q,Dipropylene_glycol,1,soluble
1427,Q,2-Butoxyethanol,1,soluble
1428,Q,Methyl_dioxitol,1,soluble
1429,Q,Butyl_dioxitol,1,soluble
1430,Q,Oxitole,1,soluble
1431,Q,Diacetone_alcohol,1,soluble
1432,Q,Cellusolve_acetate,1,soluble
1433,Q,Methyl_Cellusolve,1,soluble
1434,Q,Diethyl_ether,6,non-soluble
1435,Q,Furan,5,non-soluble
1436,Q,Dioxane,1,soluble
1437,Q,Methylal,5,non-soluble
1438,Q,Diethyl_sulfide,6,non-soluble
1439,Q,Carbon_disulfide,4,theta
1440,Q,Dimethyl_sulphoxide,1,soluble
1441,Q,Propylene_carbonate,1,soluble
1442,Q,gamma_Butyrolactone,1,soluble
1443,Q,Acetone,1,soluble
1444,Q,Methyl_ethyl_ketone,1,soluble
1445,Q,Methyl_isobutyl_ketone,4,theta
1446,Q,Methyl_isoamyl_ketone,6,non-soluble
1447,Q,Diisobutyl_ketone,6,non-soluble
1448,Q,Isophorone,1,soluble
1449,Q,Acetophenone,1,soluble
1450,Q,Cyclohexanone,1,soluble
1451,Q,Tetrahydrofuran,1,soluble
1452,Q,Mesityl_oxide,1,soluble
1453,Q,Ethyl_acetate,1,soluble
1454,Q,n-Butyl_acetate,6,non-soluble
1455,Q,Isoamyl_acetate,6,non-soluble
1456,Q,Isobutyl_isobutyrate,6,non-soluble
1457,Q,Acetonitrile,5,non-soluble
1458,Q,Butyronitrite,5,non-soluble
1459,Q,Nitromethane,5,non-soluble
1460,Q,Nitroethane,5,non-soluble
1461,Q,2-Nitropropane,4,theta
1462,Q,Aniline,1,soluble
1463,Q,Nitrobenzene,2,soluble
1464,Q,Ethanolamine,5,non-soluble
1465,Q,Dimethyl_formamide,1,soluble
1466,Q,Dipropyl_amine,5,non-soluble
1467,Q,Diethyl_amine,5,non-soluble
1468,Q,Morpholine,1,soluble
1469,Q,Cyclohexylamine,6,non-soluble
1470,Q,Pyridine,1,soluble
1471,Q,Carbon_terachloride,6,non-soluble
1472,Q,Chloroform,3,theta
1473,Q,Ethylen_chloride,5,non-soluble
1474,Q,Methylene_chloride,3,theta
1475,Q,1_1_1-Trichloroethane,6,non-soluble
1476,Q,1-Chlorobutane,6,non-soluble
1477,Q,Trichloroethylene,5,non-soluble
1478,Q,2_2-Dichloro_diethyl_ether,5,non-soluble
1479,Q,Chlorobenzene,6,non-soluble
1480,Q,o-Dichlorobenzene,6,non-soluble
1481,Q,alpha-bromonaphtaline,6,non-soluble
1482,Q,Cyclohexylchloride,6,non-soluble
1483,Q,Benzene,6,non-soluble
1484,Q,Toluene,6,non-soluble
1485,Q,Xylene,6,non-soluble
1486,Q,Ethyl_benzene,6,non-soluble
1487,Q,Styrene,6,non-soluble
1488,Q,Tetralin,6,non-soluble
1489,Q,Hexane,6,non-soluble
1490,Q,Cyclohexane,6,non-soluble
1491,Q,Acetic_acid,4,theta
1492,Q,Formic_acid_90,2,soluble
1493,Q,Butyric_acid,6,non-soluble
1494,Q,Benzaldehyde,1,soluble
1495,Q,Acetic_anhydride,4,theta
1496,R,Methanol ,4,theta
1497,R,Ethanol_96,5,non-soluble
1498,R,Ethanol_99p9,4,theta
1499,R,n-Propanol,4,theta
1500,R,n-Butanol,4,theta
1501,R,Pentanol-1,5,non-soluble
1502,R,2-Ethyl_butanol,3,theta
1503,R,2-Ethyl_hexanol,4,theta
1504,R,Methyl_isobutyl_carbinol,4,theta
1505,R,Propylene_glycol,5,non-soluble
1506,R,Ethylene_glycol,5,non-soluble
1507,R,1_3-Butandiol,6,non-soluble
1508,R,Glycerol,4,theta
1509,R,Cyclohexanol,2,soluble
1510,R,m-Cresol,1,soluble
1511,R,Ethyl_lactate,1,soluble
1512,R,n-Butyl_lactate,1,soluble
1513,R,Diethylene_glycol,5,non-soluble
1514,R,Dipropylene_glycol,5,non-soluble
1515,R,2-Butoxyethanol,1,soluble
1516,R,Methyl_dioxitol,1,soluble
1517,R,Butyl_dioxitol,1,soluble
1518,R,Oxitole,1,soluble
1519,R,Diacetone_alcohol,1,soluble
1520,R,Cellusolve_acetate,1,soluble
1521,R,Methyl_Cellusolve,1,soluble
1522,R,Diethyl_ether,5,non-soluble
1523,R,Furan,1,soluble
1524,R,Dioxane,1,soluble
1525,R,Methylal,1,soluble
1526,R,Diethyl_sulfide,1,soluble
1527,R,Carbon_disulfide,3,theta
1528,R,Dimethyl_sulphoxide,1,soluble
1529,R,Propylene_carbonate,1,soluble
1530,R,gamma_Butyrolactone,1,soluble
1531,R,Acetone,1,soluble
1532,R,Methyl_ethyl_ketone,1,soluble
1533,R,Methyl_isobutyl_ketone,1,soluble
1534,R,Methyl_isoamyl_ketone,1,soluble
1535,R,Diisobutyl_ketone,1,soluble
1536,R,Isophorone,1,soluble
1537,R,Acetophenone,1,soluble
1538,R,Cyclohexanone,1,soluble
1539,R,Tetrahydrofuran,1,soluble
1540,R,Mesityl_oxide,1,soluble
1541,R,Ethyl_acetate,1,soluble
1542,R,n-Butyl_acetate,1,soluble
1543,R,Isoamyl_acetate,1,soluble
1544,R,Isobutyl_isobutyrate,1,soluble
1545,R,Acetonitrile,2,soluble
1546,R,Butyronitrite,1,soluble
1547,R,Nitromethane,2,soluble
1548,R,Nitroethane,1,soluble
1549,R,2-Nitropropane,1,soluble
1550,R,Aniline,1,soluble
1551,R,Nitrobenzene,1,soluble
1552,R,Ethanolamine,6,non-soluble
1553,R,Dimethyl_formamide,1,soluble
1554,R,Dipropyl_amine,1,soluble
1555,R,Diethyl_amine,1,soluble
1556,R,Morpholine,1,soluble
1557,R,Cyclohexylamine,1,soluble
1558,R,Pyridine,1,soluble
1559,R,Carbon_terachloride,1,soluble
1560,R,Chloroform,1,soluble
1561,R,Ethylen_chloride,1,soluble
1562,R,Methylene_chloride,1,soluble
1563,R,1_1_1-Trichloroethane,1,soluble
1564,R,1-Chlorobutane,1,soluble
1565,R,Trichloroethylene,1,soluble
1566,R,2_2-Dichloro_diethyl_ether,1,soluble
1567,R,Chlorobenzene,1,soluble
1568,R,o-Dichlorobenzene,1,soluble
1569,R,alpha-bromonaphtaline,1,soluble
1570,R,Cyclohexylchloride,1,soluble
1571,R,Benzene,1,soluble
1572,R,Toluene,1,soluble
1573,R,Xylene,1,soluble
1574,R,Ethyl_benzene,1,soluble
1575,R,Styrene,1,soluble
1576,R,Tetralin,1,soluble
1577,R,Hexane,5,non-soluble
1578,R,Cyclohexane,5,non-soluble
1579,R,Acetic_acid,1,soluble
1580,R,Formic_acid_90,5,non-soluble
1581,R,Butyric_acid,1,soluble
1582,R,Benzaldehyde,1,soluble
1583,R,Acetic_anhydride,1,soluble
1584,S,Methanol ,1,soluble
1585,S,Ethanol_96,1,soluble
1586,S,Ethanol_99p9,1,soluble
1587,S,n-Propanol,2,soluble
1588,S,n-Butanol,3,theta
1589,S,Pentanol-1,6,non-soluble
1590,S,2-Ethyl_butanol,3,theta
1591,S,2-Ethyl_hexanol,4,theta
1592,S,Methyl_isobutyl_carbinol,4,theta
1593,S,Propylene_glycol,1,soluble
1594,S,Ethylene_glycol,2,soluble
1595,S,1_3-Butandiol,1,soluble
1596,S,Glycerol,3,theta
1597,S,Cyclohexanol,1,soluble
1598,S,m-Cresol,1,soluble
1599,S,Ethyl_lactate,1,soluble
1600,S,n-Butyl_lactate,1,soluble
1601,S,Diethylene_glycol,1,soluble
1602,S,Dipropylene_glycol,1,soluble
1603,S,2-Butoxyethanol,1,soluble
1604,S,Methyl_dioxitol,1,soluble
1605,S,Butyl_dioxitol,1,soluble
1606,S,Oxitole,1,soluble
1607,S,Diacetone_alcohol,1,soluble
1608,S,Cellusolve_acetate,1,soluble
1609,S,Methyl_Cellusolve,1,soluble
1610,S,Diethyl_ether,3,theta
1611,S,Furan,1,soluble
1612,S,Dioxane,1,soluble
1613,S,Methylal,1,soluble
1614,S,Diethyl_sulfide,4,theta
1615,S,Carbon_disulfide,3,theta
1616,S,Dimethyl_sulphoxide,1,soluble
1617,S,Propylene_carbonate,1,soluble
1618,S,gamma_Butyrolactone,1,soluble
1619,S,Acetone,1,soluble
1620,S,Methyl_ethyl_ketone,1,soluble
1621,S,Methyl_isobutyl_ketone,1,soluble
1622,S,Methyl_isoamyl_ketone,1,soluble
1623,S,Diisobutyl_ketone,1,soluble
1624,S,Isophorone,1,soluble
1625,S,Acetophenone,1,soluble
1626,S,Cyclohexanone,1,soluble
1627,S,Tetrahydrofuran,1,soluble
1628,S,Mesityl_oxide,1,soluble
1629,S,Ethyl_acetate,1,soluble
1630,S,n-Butyl_acetate,1,soluble
1631,S,Isoamyl_acetate,1,soluble
1632,S,Isobutyl_isobutyrate,3,theta
1633,S,Acetonitrile,1,soluble
1634,S,Butyronitrite,1,soluble
1635,S,Nitromethane,1,soluble
1636,S,Nitroethane,1,soluble
1637,S,2-Nitropropane,1,soluble
1638,S,Aniline,1,soluble
1639,S,Nitrobenzene,1,soluble
1640,S,Ethanolamine,1,soluble
1641,S,Dimethyl_formamide,1,soluble
1642,S,Dipropyl_amine,2,soluble
1643,S,Diethyl_amine,1,soluble
1644,S,Morpholine,1,soluble
1645,S,Cyclohexylamine,3,theta
1646,S,Pyridine,1,soluble
1647,S,Carbon_terachloride,5,non-soluble
1648,S,Chloroform,1,soluble
1649,S,Ethylen_chloride,1,soluble
1650,S,Methylene_chloride,1,soluble
1651,S,1_1_1-Trichloroethane,3,theta
1652,S,1-Chlorobutane,3,theta
1653,S,Trichloroethylene,1,soluble
1654,S,2_2-Dichloro_diethyl_ether,1,soluble
1655,S,Chlorobenzene,1,soluble
1656,S,o-Dichlorobenzene,1,soluble
1657,S,alpha-bromonaphtaline,4,theta
1658,S,Cyclohexylchloride,4,theta
1659,S,Benzene,2,soluble
1660,S,Toluene,3,theta
1661,S,Xylene,3,theta
1662,S,Ethyl_benzene,3,theta
1663,S,Styrene,1,soluble
1664,S,Tetralin,2,soluble
1665,S,Hexane,6,non-soluble
1666,S,Cyclohexane,5,non-soluble
1667,S,Acetic_acid,1,soluble
1668,S,Formic_acid_90,1,soluble
1669,S,Butyric_acid,1,soluble
1670,S,Benzaldehyde,1,soluble
1671,S,Acetic_anhydride,1,soluble
1672,T,Methanol ,6,non-soluble
1673,T,Ethanol_96,6,non-soluble
1674,T,Ethanol_99p9,6,non-soluble
1675,T,n-Propanol,6,non-soluble
1676,T,n-Butanol,6,non-soluble
1677,T,Pentanol-1,6,non-soluble
1678,T,2-Ethyl_butanol,6,non-soluble
1679,T,2-Ethyl_hexanol,6,non-soluble
1680,T,Methyl_isobutyl_carbinol,6,non-soluble
1681,T,Propylene_glycol,6,non-soluble
1682,T,Ethylene_glycol,6,non-soluble
1683,T,1_3-Butandiol,5,non-soluble
1684,T,Glycerol,6,non-soluble
1685,T,Cyclohexanol,5,non-soluble
1686,T,m-Cresol,5,non-soluble
1687,T,Ethyl_lactate,6,non-soluble
1688,T,n-Butyl_lactate,6,non-soluble
1689,T,Diethylene_glycol,6,non-soluble
1690,T,Dipropylene_glycol,6,non-soluble
1691,T,2-Butoxyethanol,6,non-soluble
1692,T,Methyl_dioxitol,6,non-soluble
1693,T,Butyl_dioxitol,6,non-soluble
1694,T,Oxitole,6,non-soluble
1695,T,Diacetone_alcohol,6,non-soluble
1696,T,Cellusolve_acetate,5,non-soluble
1697,T,Methyl_Cellusolve,6,non-soluble
1698,T,Diethyl_ether,1,soluble
1699,T,Furan,1,soluble
1700,T,Dioxane,1,soluble
1701,T,Methylal,5,non-soluble
1702,T,Diethyl_sulfide,1,soluble
1703,T,Carbon_disulfide,1,soluble
1704,T,Dimethyl_sulphoxide,6,non-soluble
1705,T,Propylene_carbonate,6,non-soluble
1706,T,gamma_Butyrolactone,6,non-soluble
1707,T,Acetone,6,non-soluble
1708,T,Methyl_ethyl_ketone,4,theta
1709,T,Methyl_isobutyl_ketone,1,soluble
1710,T,Methyl_isoamyl_ketone,1,soluble
1711,T,Diisobutyl_ketone,1,soluble
1712,T,Isophorone,1,soluble
1713,T,Acetophenone,1,soluble
1714,T,Cyclohexanone,1,soluble
1715,T,Tetrahydrofuran,1,soluble
1716,T,Mesityl_oxide,1,soluble
1717,T,Ethyl_acetate,3,theta
1718,T,n-Butyl_acetate,1,soluble
1719,T,Isoamyl_acetate,1,soluble
1720,T,Isobutyl_isobutyrate,1,soluble
1721,T,Acetonitrile,6,non-soluble
1722,T,Butyronitrite,6,non-soluble
1723,T,Nitromethane,6,non-soluble
1724,T,Nitroethane,6,non-soluble
1725,T,2-Nitropropane,6,non-soluble
1726,T,Aniline,6,non-soluble
1727,T,Nitrobenzene,1,soluble
1728,T,Ethanolamine,6,non-soluble
1729,T,Dimethyl_formamide,6,non-soluble
1730,T,Dipropyl_amine,1,soluble
1731,T,Diethyl_amine,1,soluble
1732,T,Morpholine,4,theta
1733,T,Cyclohexylamine,1,soluble
1734,T,Pyridine,1,soluble
1735,T,Carbon_terachloride,1,soluble
1736,T,Chloroform,1,soluble
1737,T,Ethylen_chloride,1,soluble
1738,T,Methylene_chloride,1,soluble
1739,T,1_1_1-Trichloroethane,1,soluble
1740,T,1-Chlorobutane,1,soluble
1741,T,Trichloroethylene,1,soluble
1742,T,2_2-Dichloro_diethyl_ether,5,non-soluble
1743,T,Chlorobenzene,1,soluble
1744,T,o-Dichlorobenzene,1,soluble
1745,T,alpha-bromonaphtaline,1,soluble
1746,T,Cyclohexylchloride,1,soluble
1747,T,Benzene,1,soluble
1748,T,Toluene,1,soluble
1749,T,Xylene,1,soluble
1750,T,Ethyl_benzene,1,soluble
1751,T,Styrene,1,soluble
1752,T,Tetralin,1,soluble
1753,T,Hexane,3,theta
1754,T,Cyclohexane,1,soluble
1755,T,Acetic_acid,6,non-soluble
1756,T,Formic_acid_90,6,non-soluble
1757,T,Butyric_acid,4,theta
1758,T,Benzaldehyde,2,soluble
1759,T,Acetic_anhydride,6,non-soluble
1760,U,Methanol ,5,non-soluble
1761,U,Ethanol_96,6,non-soluble
1762,U,Ethanol_99p9,6,non-soluble
1763,U,n-Propanol,6,non-soluble
1764,U,n-Butanol,6,non-soluble
1765,U,Pentanol-1,6,non-soluble
1766,U,2-Ethyl_butanol,6,non-soluble
1767,U,2-Ethyl_hexanol,6,non-soluble
1768,U,Methyl_isobutyl_carbinol,5,non-soluble
1769,U,Propylene_glycol,6,non-soluble
1770,U,Ethylene_glycol,4,theta
1771,U,1_3-Butandiol,5,non-soluble
1772,U,Glycerol,6,non-soluble
1773,U,Cyclohexanol,5,non-soluble
1774,U,m-Cresol,1,soluble
1775,U,Ethyl_lactate,4,theta
1776,U,n-Butyl_lactate,1,soluble
1777,U,Diethylene_glycol,6,non-soluble
1778,U,Dipropylene_glycol,6,non-soluble
1779,U,2-Butoxyethanol,4,theta
1780,U,Methyl_dioxitol,3,theta
1781,U,Butyl_dioxitol,4,theta
1782,U,Oxitole,4,theta
1783,U,Diacetone_alcohol,1,soluble
1784,U,Cellusolve_acetate,1,soluble
1785,U,Methyl_Cellusolve,5,non-soluble
1786,U,Diethyl_ether,6,non-soluble
1787,U,Furan,1,soluble
1788,U,Dioxane,1,soluble
1789,U,Methylal,1,soluble
1790,U,Diethyl_sulfide,1,soluble
1791,U,Carbon_disulfide,4,theta
1792,U,Dimethyl_sulphoxide,5,non-soluble
1793,U,Propylene_carbonate,4,theta
1794,U,gamma_Butyrolactone,1,soluble
1795,U,Acetone,1,soluble
1796,U,Methyl_ethyl_ketone,1,soluble
1797,U,Methyl_isobutyl_ketone,1,soluble
1798,U,Methyl_isoamyl_ketone,1,soluble
1799,U,Diisobutyl_ketone,1,soluble
1800,U,Isophorone,1,soluble
1801,U,Acetophenone,1,soluble
1802,U,Cyclohexanone,1,soluble
1803,U,Tetrahydrofuran,1,soluble
1804,U,Mesityl_oxide,1,soluble
1805,U,Ethyl_acetate,1,soluble
1806,U,n-Butyl_acetate,1,soluble
1807,U,Isoamyl_acetate,1,soluble
1808,U,Isobutyl_isobutyrate,1,soluble
1809,U,Acetonitrile,5,non-soluble
1810,U,Butyronitrite,1,soluble
1811,U,Nitromethane,1,soluble
1812,U,Nitroethane,1,soluble
1813,U,2-Nitropropane,1,soluble
1814,U,Aniline,1,soluble
1815,U,Nitrobenzene,1,soluble
1816,U,Ethanolamine,6,non-soluble
1817,U,Dimethyl_formamide,1,soluble
1818,U,Dipropyl_amine,4,theta
1819,U,Diethyl_amine,1,soluble
1820,U,Morpholine,1,soluble
1821,U,Cyclohexylamine,1,soluble
1822,U,Pyridine,1,soluble
1823,U,Carbon_terachloride,5,non-soluble
1824,U,Chloroform,1,soluble
1825,U,Ethylen_chloride,1,soluble
1826,U,Methylene_chloride,1,soluble
1827,U,1_1_1-Trichloroethane,1,soluble
1828,U,1-Chlorobutane,1,soluble
1829,U,Trichloroethylene,1,soluble
1830,U,2_2-Dichloro_diethyl_ether,1,soluble
1831,U,Chlorobenzene,1,soluble
1832,U,o-Dichlorobenzene,1,soluble
1833,U,alpha-bromonaphtaline,1,soluble
1834,U,Cyclohexylchloride,1,soluble
1835,U,Benzene,1,soluble
1836,U,Toluene,1,soluble
1837,U,Xylene,1,soluble
1838,U,Ethyl_benzene,1,soluble
1839,U,Styrene,1,soluble
1840,U,Tetralin,1,soluble
1841,U,Hexane,6,non-soluble
1842,U,Cyclohexane,6,non-soluble
1843,U,Acetic_acid,6,non-soluble
1844,U,Formic_acid_90,6,non-soluble
1845,U,Butyric_acid,5,non-soluble
1846,U,Benzaldehyde,1,soluble
1847,U,Acetic_anhydride,2,soluble
1848,V,Methanol ,6,non-soluble
1849,V,Ethanol_96,6,non-soluble
1850,V,Ethanol_99p9,6,non-soluble
1851,V,n-Propanol,6,non-soluble
1852,V,n-Butanol,6,non-soluble
1853,V,Pentanol-1,6,non-soluble
1854,V,2-Ethyl_butanol,6,non-soluble
1855,V,2-Ethyl_hexanol,5,non-soluble
1856,V,Methyl_isobutyl_carbinol,6,non-soluble
1857,V,Propylene_glycol,6,non-soluble
1858,V,Ethylene_glycol,6,non-soluble
1859,V,1_3-Butandiol,6,non-soluble
1860,V,Glycerol,5,non-soluble
1861,V,Cyclohexanol,5,non-soluble
1862,V,m-Cresol,5,non-soluble
1863,V,Ethyl_lactate,6,non-soluble
1864,V,n-Butyl_lactate,6,non-soluble
1865,V,Diethylene_glycol,6,non-soluble
1866,V,Dipropylene_glycol,6,non-soluble
1867,V,2-Butoxyethanol,6,non-soluble
1868,V,Methyl_dioxitol,6,non-soluble
1869,V,Butyl_dioxitol,5,non-soluble
1870,V,Oxitole,6,non-soluble
1871,V,Diacetone_alcohol,6,non-soluble
1872,V,Cellusolve_acetate,6,non-soluble
1873,V,Methyl_Cellusolve,6,non-soluble
1874,V,Diethyl_ether,1,soluble
1875,V,Furan,1,soluble
1876,V,Dioxane,4,theta
1877,V,Methylal,4,theta
1878,V,Diethyl_sulfide,1,soluble
1879,V,Carbon_disulfide,1,soluble
1880,V,Dimethyl_sulphoxide,6,non-soluble
1881,V,Propylene_carbonate,6,non-soluble
1882,V,gamma_Butyrolactone,6,non-soluble
1883,V,Acetone,6,non-soluble
1884,V,Methyl_ethyl_ketone,4,theta
1885,V,Methyl_isobutyl_ketone,1,soluble
1886,V,Methyl_isoamyl_ketone,1,soluble
1887,V,Diisobutyl_ketone,1,soluble
1888,V,Isophorone,1,soluble
1889,V,Acetophenone,5,non-soluble
1890,V,Cyclohexanone,1,soluble
1891,V,Tetrahydrofuran,1,soluble
1892,V,Mesityl_oxide,1,soluble
1893,V,Ethyl_acetate,5,non-soluble
1894,V,n-Butyl_acetate,1,soluble
1895,V,Isoamyl_acetate,1,soluble
1896,V,Isobutyl_isobutyrate,1,soluble
1897,V,Acetonitrile,6,non-soluble
1898,V,Butyronitrite,5,non-soluble
1899,V,Nitromethane,6,non-soluble
1900,V,Nitroethane,6,non-soluble
1901,V,2-Nitropropane,6,non-soluble
1902,V,Aniline,6,non-soluble
1903,V,Nitrobenzene,1,soluble
1904,V,Ethanolamine,6,non-soluble
1905,V,Dimethyl_formamide,5,non-soluble
1906,V,Dipropyl_amine,1,soluble
1907,V,Diethyl_amine,1,soluble
1908,V,Morpholine,5,non-soluble
1909,V,Cyclohexylamine,1,soluble
1910,V,Pyridine,5,non-soluble
1911,V,Carbon_terachloride,1,soluble
1912,V,Chloroform,1,soluble
1913,V,Ethylen_chloride,1,soluble
1914,V,Methylene_chloride,1,soluble
1915,V,1_1_1-Trichloroethane,1,soluble
1916,V,1-Chlorobutane,1,soluble
1917,V,Trichloroethylene,1,soluble
1918,V,2_2-Dichloro_diethyl_ether,6,non-soluble
1919,V,Chlorobenzene,1,soluble
1920,V,o-Dichlorobenzene,1,soluble
1921,V,alpha-bromonaphtaline,1,soluble
1922,V,Cyclohexylchloride,1,soluble
1923,V,Benzene,1,soluble
1924,V,Toluene,1,soluble
1925,V,Xylene,1,soluble
1926,V,Ethyl_benzene,1,soluble
1927,V,Styrene,1,soluble
1928,V,Tetralin,1,soluble
1929,V,Hexane,1,soluble
1930,V,Cyclohexane,1,soluble
1931,V,Acetic_acid,6,non-soluble
1932,V,Formic_acid_90,6,non-soluble
1933,V,Butyric_acid,4,theta
1934,V,Benzaldehyde,5,non-soluble
1935,V,Acetic_anhydride,6,non-soluble
1936,X,Methanol ,6,non-soluble
1937,X,Ethanol_96,6,non-soluble
1938,X,Ethanol_99p9,6,non-soluble
1939,X,n-Propanol,1,soluble
1940,X,n-Butanol,1,soluble
1941,X,Pentanol-1,1,soluble
1942,X,2-Ethyl_butanol,1,soluble
1943,X,2-Ethyl_hexanol,1,soluble
1944,X,Methyl_isobutyl_carbinol,1,soluble
1945,X,Propylene_glycol,6,non-soluble
1946,X,Ethylene_glycol,6,non-soluble
1947,X,1_3-Butandiol,6,non-soluble
1948,X,Glycerol,6,non-soluble
1949,X,Cyclohexanol,1,soluble
1950,X,m-Cresol,1,soluble
1951,X,Ethyl_lactate,6,non-soluble
1952,X,n-Butyl_lactate,5,non-soluble
1953,X,Diethylene_glycol,6,non-soluble
1954,X,Dipropylene_glycol,6,non-soluble
1955,X,2-Butoxyethanol,1,soluble
1956,X,Methyl_dioxitol,6,non-soluble
1957,X,Butyl_dioxitol,5,non-soluble
1958,X,Oxitole,6,non-soluble
1959,X,Diacetone_alcohol,6,non-soluble
1960,X,Cellusolve_acetate,6,non-soluble
1961,X,Methyl_Cellusolve,6,non-soluble
1962,X,Diethyl_ether,1,soluble
1963,X,Furan,1,soluble
1964,X,Dioxane,5,non-soluble
1965,X,Methylal,1,soluble
1966,X,Diethyl_sulfide,1,soluble
1967,X,Carbon_disulfide,1,soluble
1968,X,Dimethyl_sulphoxide,6,non-soluble
1969,X,Propylene_carbonate,6,non-soluble
1970,X,gamma_Butyrolactone,6,non-soluble
1971,X,Acetone,6,non-soluble
1972,X,Methyl_ethyl_ketone,1,soluble
1973,X,Methyl_isobutyl_ketone,1,soluble
1974,X,Methyl_isoamyl_ketone,1,soluble
1975,X,Diisobutyl_ketone,1,soluble
1976,X,Isophorone,1,soluble
1977,X,Acetophenone,5,non-soluble
1978,X,Cyclohexanone,1,soluble
1979,X,Tetrahydrofuran,1,soluble
1980,X,Mesityl_oxide,1,soluble
1981,X,Ethyl_acetate,1,soluble
1982,X,n-Butyl_acetate,1,soluble
1983,X,Isoamyl_acetate,1,soluble
1984,X,Isobutyl_isobutyrate,1,soluble
1985,X,Acetonitrile,6,non-soluble
1986,X,Butyronitrite,6,non-soluble
1987,X,Nitromethane,6,non-soluble
1988,X,Nitroethane,6,non-soluble
1989,X,2-Nitropropane,6,non-soluble
1990,X,Aniline,6,non-soluble
1991,X,Nitrobenzene,6,non-soluble
1992,X,Ethanolamine,6,non-soluble
1993,X,Dimethyl_formamide,5,non-soluble
1994,X,Dipropyl_amine,1,soluble
1995,X,Diethyl_amine,1,soluble
1996,X,Morpholine,4,theta
1997,X,Cyclohexylamine,1,soluble
1998,X,Pyridine,4,theta
1999,X,Carbon_terachloride,1,soluble
2000,X,Chloroform,1,soluble
2001,X,Ethylen_chloride,1,soluble
2002,X,Methylene_chloride,1,soluble
2003,X,1_1_1-Trichloroethane,1,soluble
2004,X,1-Chlorobutane,1,soluble
2005,X,Trichloroethylene,1,soluble
2006,X,2_2-Dichloro_diethyl_ether,6,non-soluble
2007,X,Chlorobenzene,1,soluble
2008,X,o-Dichlorobenzene,1,soluble
2009,X,alpha-bromonaphtaline,5,non-soluble
2010,X,Cyclohexylchloride,1,soluble
2011,X,Benzene,1,soluble
2012,X,Toluene,1,soluble
2013,X,Xylene,1,soluble
2014,X,Ethyl_benzene,1,soluble
2015,X,Styrene,1,soluble
2016,X,Tetralin,1,soluble
2017,X,Hexane,1,soluble
2018,X,Cyclohexane,1,soluble
2019,X,Acetic_acid,6,non-soluble
2020,X,Formic_acid_90,6,non-soluble
2021,X,Butyric_acid,1,soluble
2022,X,Benzaldehyde,5,non-soluble
2023,X,Acetic_anhydride,6,non-soluble
2024,Y,Methanol ,6,non-soluble
2025,Y,Ethanol_96,6,non-soluble
2026,Y,Ethanol_99p9,6,non-soluble
2027,Y,n-Propanol,5,non-soluble
2028,Y,n-Butanol,5,non-soluble
2029,Y,Pentanol-1,6,non-soluble
2030,Y,2-Ethyl_butanol,6,non-soluble
2031,Y,2-Ethyl_hexanol,5,non-soluble
2032,Y,Methyl_isobutyl_carbinol,6,non-soluble
2033,Y,Propylene_glycol,6,non-soluble
2034,Y,Ethylene_glycol,5,non-soluble
2035,Y,1_3-Butandiol,6,non-soluble
2036,Y,Glycerol,6,non-soluble
2037,Y,Cyclohexanol,5,non-soluble
2038,Y,m-Cresol,5,non-soluble
