,solubility_category
505,soluble
506,soluble
507,soluble
508,soluble
509,non-soluble
510,non-soluble
511,non-soluble
512,non-soluble
513,non-soluble
514,non-soluble
515,non-soluble
516,non-soluble
517,non-soluble
518,non-soluble
519,non-soluble
520,non-soluble
521,non-soluble
522,non-soluble
523,non-soluble
524,non-soluble
525,non-soluble
526,non-soluble
527,non-soluble
528,non-soluble
529,non-soluble
530,non-soluble
531,theta
532,non-soluble
533,non-soluble
534,soluble
535,non-soluble
536,theta
537,soluble
538,soluble
539,soluble
540,soluble
541,soluble
542,non-soluble
543,non-soluble
544,soluble
545,theta
546,soluble
547,soluble
548,soluble
549,theta
550,soluble
551,soluble
552,soluble
553,soluble
554,soluble
555,soluble
556,soluble
557,soluble
558,soluble
559,theta
560,non-soluble
561,soluble
562,soluble
563,soluble
564,soluble
565,non-soluble
566,soluble
567,soluble
568,soluble
569,soluble
570,soluble
571,soluble
572,soluble
573,soluble
574,soluble
575,soluble
576,soluble
577,soluble
578,soluble
579,soluble
580,soluble
581,soluble
582,soluble
583,soluble
584,soluble
585,soluble
586,soluble
587,soluble
588,theta
589,soluble
590,non-soluble
591,non-soluble
592,theta
593,soluble
594,non-soluble
595,soluble
596,soluble
597,theta
598,theta
599,non-soluble
600,soluble
601,non-soluble
602,non-soluble
603,non-soluble
604,non-soluble
605,non-soluble
606,non-soluble
607,non-soluble
608,soluble
609,soluble
610,soluble
611,soluble
612,non-soluble
613,non-soluble
614,soluble
615,soluble
616,soluble
617,soluble
618,soluble
619,soluble
620,soluble
621,theta
622,soluble
623,soluble
624,soluble
625,theta
626,theta
627,soluble
628,soluble
629,soluble
630,soluble
631,soluble
632,soluble
633,soluble
634,non-soluble
635,soluble
636,soluble
637,soluble
638,soluble
639,soluble
640,soluble
641,soluble
642,soluble
643,non-soluble
644,soluble
645,soluble
646,soluble
647,soluble
648,soluble
649,soluble
650,non-soluble
651,soluble
652,non-soluble
653,soluble
654,soluble
655,soluble
656,soluble
657,soluble
658,soluble
659,soluble
660,soluble
661,soluble
662,soluble
663,soluble
664,soluble
665,soluble
666,theta
667,soluble
668,soluble
669,theta
670,soluble
671,soluble
672,non-soluble
673,non-soluble
674,theta
675,soluble
676,soluble
677,soluble
678,soluble
679,soluble
680,theta
681,soluble
682,soluble
683,soluble
684,soluble
685,soluble
686,soluble
687,soluble
688,soluble
689,soluble
690,non-soluble
691,non-soluble
692,non-soluble
693,soluble
694,soluble
695,soluble
696,soluble
697,theta
698,soluble
699,soluble
700,soluble
701,soluble
702,soluble
703,soluble
704,non-soluble
705,soluble
706,non-soluble
707,theta
708,non-soluble
709,non-soluble
710,non-soluble
711,non-soluble
712,soluble
713,non-soluble
714,soluble
715,non-soluble
716,non-soluble
717,non-soluble
718,non-soluble
719,non-soluble
720,soluble
721,soluble
722,soluble
723,soluble
724,non-soluble
725,non-soluble
726,non-soluble
727,non-soluble
728,non-soluble
729,non-soluble
730,non-soluble
731,non-soluble
732,non-soluble
733,soluble
734,soluble
735,non-soluble
736,soluble
737,theta
738,soluble
739,soluble
740,soluble
741,non-soluble
742,soluble
743,soluble
744,non-soluble
745,theta
746,soluble
747,non-soluble
748,soluble
749,soluble
750,non-soluble
751,non-soluble
752,non-soluble
753,soluble
754,non-soluble
755,theta
756,theta
757,non-soluble
758,non-soluble
759,non-soluble
760,soluble
761,soluble
762,soluble
763,soluble
764,soluble
765,soluble
766,non-soluble
767,theta
768,non-soluble
769,non-soluble
770,non-soluble
771,non-soluble
772,non-soluble
773,non-soluble
774,non-soluble
775,non-soluble
776,non-soluble
777,non-soluble
778,non-soluble
779,non-soluble
780,soluble
781,soluble
782,soluble
783,soluble
784,soluble
785,soluble
786,soluble
787,soluble
788,soluble
789,soluble
790,soluble
791,non-soluble
792,non-soluble
793,non-soluble
794,soluble
795,non-soluble
796,non-soluble
797,soluble
798,soluble
799,soluble
800,soluble
801,soluble
802,soluble
803,soluble
