,C_solvent,H_solvent,O_solvent,N_solvent,Cl_solvent,Br_solvent,S_solvent,C_solute,H_solute,O_solute,N_solute,Cl_solute,Mw_solvent_log,Mw_unit_solute_log,tot_Mw_log
0,16.666666666666664,66.66666666666666,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,3.4977794795083996,4.74618351896037,12.301387370778713
1,21.929824561403507,66.66666666666666,11.403508771929824,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,3.8668080426031657,4.74618351896037,12.301387370778713
2,22.1483942414175,66.66666666666666,11.184939091915837,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,3.855434664359951,4.74618351896037,12.301387370778713
3,25.0,66.66666666666666,8.333333333333332,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.112446397586083,4.74618351896037,12.301387370778713
4,26.666666666666668,66.66666666666666,6.666666666666667,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.319126770204819,4.74618351896037,12.301387370778713
5,27.77777777777778,66.66666666666666,5.555555555555555,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.49032034430915,4.74618351896037,12.301387370778713
6,28.57142857142857,66.66666666666666,4.761904761904762,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.636445959991597,4.74618351896037,12.301387370778713
7,29.629629629629626,66.66666666666666,3.7037037037037033,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.876959129087956,4.74618351896037,12.301387370778713
8,28.57142857142857,66.66666666666666,4.761904761904762,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.636445959991597,4.74618351896037,12.301387370778713
9,23.076923076923077,61.53846153846154,15.384615384615385,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.345038427623316,4.74618351896037,12.301387370778713
10,20.0,60.0,20.0,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.144213509375235,4.74618351896037,12.301387370778713
11,26.666666666666668,66.66666666666666,6.666666666666667,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.319126770204819,4.74618351896037,12.301387370778713
12,21.428571428571427,57.14285714285714,21.428571428571427,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.5336097353748706,4.74618351896037,12.301387370778713
13,31.57894736842105,63.1578947368421,5.263157894736842,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.616713307083075,4.74618351896037,12.301387370778713
14,43.75,50.0,6.25,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.6926314617580855,4.74618351896037,12.301387370778713
15,27.77777777777778,55.55555555555556,16.666666666666664,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.7802321220527855,4.74618351896037,12.301387370778713
16,29.166666666666668,58.333333333333336,12.5,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.991697093076005,4.74618351896037,12.301387370778713
17,23.52941176470588,58.82352941176471,17.647058823529413,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.673959036664212,4.74618351896037,12.301387370778713
18,26.08695652173913,60.86956521739131,13.043478260869565,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.9065702352680685,4.74618351896037,12.301387370778713
19,27.27272727272727,63.63636363636363,9.090909090909092,0.0,0.0,0.0,0.0,33.33333333333333,55.55555555555556,11.11111111111111,0.0,0.0,4.780601392077291,4.74618351896037,12.301387370778713
